City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Tucuman,AR,64.4,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
490,Adeje,ES,61.32,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
492,Mendoza,AR,63.93,clear sky,-32.8908,-68.8272,Hotel Mendoza
497,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
498,Dunmore Town,BS,70.48,overcast clouds,25.5,-76.65,Coral Sands Hotel
499,Batemans Bay,AU,74.1,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
501,Birin,NP,78.71,clear sky,26.8865,88.0718,Sangam hotel and lodge
504,Port Lincoln,AU,79.29,few clouds,-34.7333,135.8667,Port Lincoln Hotel
509,Acapulco,MX,74.84,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
515,Rawson,AR,61.38,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
518,Le Moule,GP,75.24,scattered clouds,16.3332,-61.3473,Lakaz Hananou
526,Puerto El Triunfo,SV,79.34,overcast clouds,13.2833,-88.55,Hotel Jardin
528,Manaure,CO,77.16,overcast clouds,11.7751,-72.4445,Hotel Palaaima
529,Buchanan,LR,76.48,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
535,Barroso,BR,63.93,overcast clouds,-21.1869,-43.9758,R2 Suítes
543,Muisne,EC,75.74,overcast clouds,0.6,-80.0333,Quinta Samay
556,Lubango,AO,61.12,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
558,Hami,CN,62.78,overcast clouds,42.8,93.45,Laoyutang Resort
561,Tabas,IR,78.04,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
562,Umm Lajj,SA,69.96,clear sky,25.0213,37.2685,Moon light Furnished Units
583,Qixingtai,CN,79.86,overcast clouds,30.4135,111.8874,Sunny Hotel
586,Port Macquarie,AU,75.88,clear sky,-31.4333,152.9167,Rydges Port Macquarie
590,Lazaro Cardenas,MX,70.68,clear sky,17.9583,-102.2,quinta antigua
594,Cozumel,MX,73.98,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
595,Jatai,BR,68.43,overcast clouds,-17.8814,-51.7144,Hotel Califórnia
597,Celestun,MX,69.71,clear sky,20.8667,-90.4,Posada Lilia
598,Shingu,JP,68.97,scattered clouds,33.7333,135.9833,Shingu UI Hotel
600,Buin,CL,71.87,clear sky,-33.7333,-70.75,Paihuen
602,Buta,CD,77.58,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
604,Hervey Bay,AU,78.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
607,Faya,SA,68.11,clear sky,18.3851,42.4509,املاك خالد الشعشوع
608,Villiers,ZA,72.48,broken clouds,-27.0303,28.6006,Niki's Guesthouse
614,Inongo,CD,74.52,overcast clouds,-1.95,18.2667,Hotel Du Lac
616,Campoverde,PE,69.8,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
618,Ouahigouya,BF,78.21,overcast clouds,13.5828,-2.4216,Hotel Liberte
619,Tahara,JP,77.02,clear sky,34.6667,137.2667,Tahara City Hotel
621,Gunjur,GM,67.78,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
631,Ilhabela,BR,75.38,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
632,Marawi,PH,75.83,moderate rain,7.9986,124.2928,Derogongan Residence
635,Tarkwa,GH,74.17,overcast clouds,5.3064,-1.9847,Te Deum Lodge
640,Bugene,TZ,68.07,light rain,-1.5911,31.1403,Triple P Hotel
645,Beihai,CN,75.61,clear sky,21.4833,109.1,21 Degree Hostel
649,Bonga,ET,74.93,light rain,7.2833,36.2333,Abelena bare and restorant
650,Viedma,AR,63.95,overcast clouds,-40.8135,-62.9967,Hotel Cristal
671,Moron,AR,67.75,clear sky,-34.6534,-58.6198,Hotel Morón
672,Mayumba,GA,79.56,light rain,-3.432,10.6554,LIKWALE LODGE
677,Victor Harbor,AU,72.0,clear sky,-35.5667,138.6167,McCracken Country Club
678,Prado,BR,75.94,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
679,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
