City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-03-13 21:43:34,42.6001,-73.9662,34.29,37,100,8.1
1,Kahului,US,2022-03-13 21:41:18,20.8947,-156.47,86.02,45,20,20.71
2,Baruun-Urt,MN,2022-03-13 21:43:35,46.6806,113.2792,18.7,89,37,5.73
3,Faanui,PF,2022-03-13 21:43:35,-16.4833,-151.75,81.28,72,93,8.97
4,Broome,US,2022-03-13 21:38:40,42.2506,-75.833,29.46,55,100,16.11
5,Ponta Do Sol,PT,2022-03-13 21:43:36,32.6667,-17.1,62.06,60,31,22.3
6,Puerto Ayora,EC,2022-03-13 21:43:36,-0.7393,-90.3518,87.76,89,48,3.0
7,Ushuaia,AR,2022-03-13 21:40:50,-54.8,-68.3,42.46,81,100,24.16
8,Cape Town,ZA,2022-03-13 21:43:36,-33.9258,18.4232,61.21,59,40,11.5
9,Yemelyanovo,RU,2022-03-13 21:43:37,56.1681,92.6767,-12.19,77,0,2.24
10,Saldanha,ZA,2022-03-13 21:39:35,-33.0117,17.9442,57.25,62,100,20.67
11,Busselton,AU,2022-03-13 21:43:37,-33.65,115.3333,63.36,90,12,7.74
12,Iqaluit,CA,2022-03-13 21:43:38,63.7506,-68.5145,-16.87,69,75,3.44
13,Nichinan,JP,2022-03-13 21:43:38,31.6,131.3667,62.28,91,18,5.3
14,Sao Miguel Do Araguaia,BR,2022-03-13 21:43:38,-13.275,-50.1628,77.05,84,89,4.0
15,Chokurdakh,RU,2022-03-13 21:43:39,70.6333,147.9167,-10.89,93,100,4.65
16,Lavrentiya,RU,2022-03-13 21:43:39,65.5833,-171.0,9.05,71,1,4.07
17,Hobart,AU,2022-03-13 21:43:39,-42.8794,147.3294,62.46,82,75,9.22
18,Rikitea,PF,2022-03-13 21:43:40,-23.1203,-134.9692,80.13,72,99,15.05
19,Joigny,FR,2022-03-13 21:43:40,47.9829,3.401,40.8,93,100,11.86
20,Bluff,NZ,2022-03-13 21:43:40,-46.6,168.3333,60.8,75,11,4.34
21,Kaitangata,NZ,2022-03-13 21:43:41,-46.2817,169.8464,60.6,69,10,2.28
22,Hofn,IS,2022-03-13 21:43:41,64.2539,-15.2082,35.98,48,61,10.02
23,Glenwood Springs,US,2022-03-13 21:43:42,39.5505,-107.3248,50.81,53,100,8.05
24,Upernavik,GL,2022-03-13 21:43:42,72.7868,-56.1549,-14.04,100,56,11.21
25,Castro,BR,2022-03-13 21:43:42,-24.7911,-50.0119,64.11,98,100,2.26
26,Semirom,IR,2022-03-13 21:43:43,31.4167,51.5667,38.28,94,85,7.63
27,Panjab,AF,2022-03-13 21:43:43,34.388,67.0233,30.7,90,68,3.04
28,Cherskiy,RU,2022-03-13 21:43:43,68.75,161.3,-13.85,98,99,3.67
29,Mataura,NZ,2022-03-13 21:43:44,-46.1927,168.8643,60.48,64,18,2.59
30,Fayaoue,NC,2022-03-13 21:43:44,-20.65,166.5333,82.0,75,47,7.05
31,Pouebo,NC,2022-03-13 21:43:44,-20.4,164.5667,81.54,78,86,7.94
32,Tondela,PT,2022-03-13 21:43:45,40.5167,-8.0833,47.62,90,57,4.47
33,Tabory,RU,2022-03-13 21:43:45,58.5198,64.5495,3.51,98,98,4.34
34,Punta Arenas,CL,2022-03-13 21:43:46,-53.15,-70.9167,48.31,53,40,32.21
35,Portlethen,GB,2022-03-13 21:43:46,57.0547,-2.1307,45.77,94,75,23.02
36,Jalna,IN,2022-03-13 21:43:46,19.8333,75.8833,76.14,16,1,6.51
37,San Ignacio,BZ,2022-03-13 21:43:47,17.1561,-89.0714,69.94,94,100,6.91
38,Oktyabrskiy,RU,2022-03-13 21:43:47,54.4815,53.471,6.24,96,99,5.88
39,Cayenne,GF,2022-03-13 21:43:47,4.9333,-52.3333,75.24,1,100,4.61
40,Carnarvon,AU,2022-03-13 21:43:48,-24.8667,113.6333,73.47,78,0,10.36
41,Mao,ES,2022-03-13 21:43:48,39.8885,4.2658,55.96,94,20,5.75
42,Chuy,UY,2022-03-13 21:43:48,-33.6971,-53.4616,62.64,72,2,7.05
43,Ambon,ID,2022-03-13 21:43:49,-3.6954,128.1814,75.34,94,40,8.05
44,Agadez,NE,2022-03-13 21:44:49,19.75,10.25,65.95,11,0,7.87
45,Mecca,SA,2022-03-13 21:40:58,21.4267,39.8261,70.83,61,2,5.44
46,San Quintin,MX,2022-03-13 21:44:50,30.4833,-115.95,63.88,59,0,19.24
47,Katangli,RU,2022-03-13 21:44:50,51.7102,143.2326,9.64,97,100,1.54
48,Samarai,PG,2022-03-13 21:44:50,-10.6167,150.6667,84.31,73,41,13.15
49,Clyde River,CA,2022-03-13 21:44:51,70.4692,-68.5914,-16.37,69,100,10.36
50,Aklavik,CA,2022-03-13 21:44:51,68.2191,-135.0107,0.01,79,19,11.95
51,Kroya,ID,2022-03-13 21:44:52,-7.6331,109.2461,78.31,89,93,3.15
52,Souillac,MU,2022-03-13 21:44:52,-20.5167,57.5167,79.18,89,40,11.5
53,San Luis,AR,2022-03-13 21:44:52,-33.295,-66.3356,76.19,38,0,4.99
54,Hermanus,ZA,2022-03-13 21:44:53,-34.4187,19.2345,57.79,58,96,14.58
55,Talcahuano,CL,2022-03-13 21:44:53,-36.7167,-73.1167,74.88,50,0,9.22
56,Paracuru,BR,2022-03-13 21:44:53,-3.41,-39.0306,82.11,82,100,5.68
57,Chumikan,RU,2022-03-13 21:44:54,54.7183,135.315,9.46,95,100,4.32
58,Akureyri,IS,2022-03-13 21:44:54,65.6835,-18.0878,31.93,69,0,8.05
59,Blagoyevo,RU,2022-03-13 21:44:54,63.3667,47.9167,16.43,94,99,7.43
60,Kawasaki,JP,2022-03-13 21:44:55,35.5206,139.7172,63.18,91,75,15.99
61,Bengkulu,ID,2022-03-13 21:44:55,-3.8004,102.2655,76.48,90,100,6.08
62,Mashhad,IR,2022-03-13 21:44:55,36.297,59.6062,48.34,100,40,4.61
63,Butaritari,KI,2022-03-13 21:44:56,3.0707,172.7902,81.5,74,10,20.89
64,Huanta,PE,2022-03-13 21:44:56,-12.9333,-74.25,64.8,67,98,4.18
65,Mahebourg,MU,2022-03-13 21:44:56,-20.4081,57.7,79.25,89,40,11.5
66,Maragogi,BR,2022-03-13 21:44:57,-9.0122,-35.2225,80.73,76,100,9.89
67,Maceio,BR,2022-03-13 21:44:29,-9.6658,-35.7353,80.04,83,75,5.75
68,Kapaa,US,2022-03-13 21:44:57,22.0752,-159.319,82.38,67,40,9.22
69,Umm Kaddadah,SD,2022-03-13 21:44:58,13.6017,26.6876,71.28,15,46,17.92
70,Fortuna,US,2022-03-13 21:44:58,40.5982,-124.1573,58.93,60,75,8.05
71,Kyabe,TD,2022-03-13 21:44:58,9.4515,18.9449,87.89,28,13,4.25
72,Grindavik,IS,2022-03-13 21:44:59,63.8424,-22.4338,36.07,80,40,16.11
73,Warrensburg,US,2022-03-13 21:42:45,38.7628,-93.7361,64.56,33,0,16.11
74,Thompson,CA,2022-03-13 21:41:43,55.7435,-97.8558,15.96,57,100,19.57
75,Miranda,CO,2022-03-13 21:44:59,3.2499,-76.2281,84.33,64,60,0.54
76,Ostrovnoy,RU,2022-03-13 21:45:00,68.0531,39.5131,26.2,87,100,2.62
77,Beloha,MG,2022-03-13 21:45:00,-25.1667,45.05,73.44,80,100,9.08
78,Bobo Dioulasso,BF,2022-03-13 21:45:00,11.1771,-4.2979,86.45,23,98,2.3
79,Arman,RU,2022-03-13 21:45:01,59.7,150.1667,7.02,75,100,5.91
80,Lebu,CL,2022-03-13 21:45:01,-37.6167,-73.65,60.8,73,2,21.72
81,Bushehr,IR,2022-03-13 21:45:01,28.9684,50.8385,69.89,73,75,9.22
82,Lyngseidet,NO,2022-03-13 21:45:02,69.5763,20.2189,32.99,66,53,9.75
83,Port Keats,AU,2022-03-13 21:45:02,-14.25,129.55,78.15,86,91,3.36
84,Hithadhoo,MV,2022-03-13 21:44:55,-0.6,73.0833,82.94,71,97,6.71
85,Lata,PT,2022-03-13 21:45:03,40.1629,-8.3327,49.08,89,64,4.09
86,Miandrivazo,MG,2022-03-13 21:45:04,-19.5167,45.4667,78.33,85,98,1.43
87,Nome,US,2022-03-13 21:45:04,64.5011,-165.4064,23.07,28,0,14.97
88,Nanortalik,GL,2022-03-13 21:45:05,60.1432,-45.2371,30.79,70,100,55.36
89,Dovbysh,UA,2022-03-13 21:45:05,50.3733,27.9874,28.29,73,35,3.18
90,Victoria,HK,2022-03-13 21:43:42,22.2855,114.1577,74.17,90,57,1.01
91,Puerto Ayacucho,VE,2022-03-13 21:46:06,5.6639,-67.6236,74.66,96,100,2.73
92,Oussouye,SN,2022-03-13 21:46:06,12.485,-16.5469,78.98,65,19,5.66
93,Katsuura,JP,2022-03-13 21:46:07,35.1333,140.3,62.62,83,100,27.6
94,Doha,QA,2022-03-13 21:42:35,25.2867,51.5333,71.91,91,40,8.05
95,Asfi,MA,2022-03-13 21:46:07,32.2994,-9.2372,59.41,90,95,8.95
96,Fairbanks,US,2022-03-13 21:42:00,64.8378,-147.7164,13.48,36,0,8.05
97,Tambun,ID,2022-03-13 21:46:08,-6.2641,107.0712,84.47,86,100,0.83
98,Constitucion,CL,2022-03-13 21:46:08,-35.3333,-72.4167,66.83,67,9,8.01
99,Gazojak,TM,2022-03-13 21:46:09,41.1875,61.4036,51.35,39,100,10.63
100,Port Blair,IN,2022-03-13 21:46:09,11.6667,92.75,77.04,94,20,2.3
101,Varberg,SE,2022-03-13 21:46:09,57.1056,12.2508,43.05,28,5,15.55
102,Hambantota,LK,2022-03-13 21:46:10,6.1241,81.1185,77.34,100,40,3.44
103,Changli,CN,2022-03-13 21:46:10,39.7042,119.1506,37.92,72,77,4.59
104,New Norfolk,AU,2022-03-13 21:46:10,-42.7826,147.0587,62.1,67,100,1.66
105,Bredasdorp,ZA,2022-03-13 21:46:11,-34.5322,20.0403,60.12,55,100,10.36
106,Ancud,CL,2022-03-13 21:46:11,-41.8697,-73.8203,62.22,68,51,5.73
107,Pevek,RU,2022-03-13 21:46:11,69.7008,170.3133,-14.35,99,92,5.14
108,Kavaratti,IN,2022-03-13 21:46:12,10.5669,72.642,82.04,75,23,6.2
109,Yaan,NG,2022-03-13 21:46:12,7.3833,8.5667,89.22,33,82,1.83
110,Dikson,RU,2022-03-13 21:44:57,73.5069,80.5464,-5.26,97,100,16.64
111,Arraial Do Cabo,BR,2022-03-13 21:46:13,-22.9661,-42.0278,80.56,78,0,13.8
112,Port Alfred,ZA,2022-03-13 21:46:13,-33.5906,26.891,67.75,90,100,11.72
113,Qaanaaq,GL,2022-03-13 21:46:14,77.484,-69.3632,-9.29,95,100,3.2
114,Jumla,NP,2022-03-13 21:46:14,29.2747,82.1838,45.1,34,1,5.3
115,Bratsk,RU,2022-03-13 21:46:14,56.1325,101.6142,-8.91,100,95,2.26
116,Guarare,PA,2022-03-13 21:46:15,7.8167,-80.2833,87.19,57,64,13.94
117,Tuktoyaktuk,CA,2022-03-13 21:46:15,69.4541,-133.0374,-11.2,77,40,8.05
118,Bull Savanna,JM,2022-03-13 21:46:15,17.8868,-77.5902,79.83,66,32,4.63
119,Bethel,US,2022-03-13 21:43:03,41.3712,-73.414,34.16,47,0,10.36
120,Green Valley,US,2022-03-13 21:46:16,31.8543,-110.9937,77.23,9,0,14.56
121,Esperance,AU,2022-03-13 21:46:16,-33.8667,121.9,64.24,92,36,11.03
122,La Ronge,CA,2022-03-13 21:46:17,55.1001,-105.2842,12.45,52,100,16.11
123,Kruisfontein,ZA,2022-03-13 21:42:24,-34.0033,24.7314,60.89,89,100,18.03
124,Longyearbyen,SJ,2022-03-13 21:46:17,78.2186,15.6401,24.64,86,0,3.44
125,Bambous Virieux,MU,2022-03-13 21:46:04,-20.3428,57.7575,79.21,89,40,11.5
126,Westlock,CA,2022-03-13 21:46:17,54.1502,-113.8688,24.12,87,100,11.23
127,Waipawa,NZ,2022-03-13 21:46:15,-41.4122,175.5153,57.63,70,100,7.07
128,Sitka,US,2022-03-13 21:46:18,57.0531,-135.33,44.49,53,100,12.66
129,Rocha,UY,2022-03-13 21:46:18,-34.4833,-54.3333,61.02,81,11,6.67
130,Lorengau,PG,2022-03-13 21:46:19,-2.0226,147.2712,83.62,75,26,8.34
131,Chodavaram,IN,2022-03-13 21:46:19,17.8333,82.95,73.51,48,99,2.51
132,Ulagan,RU,2022-03-13 21:46:20,50.6321,87.9563,25.32,78,80,9.42
133,Tiksi,RU,2022-03-13 21:46:20,71.6872,128.8694,-22.38,100,99,2.17
134,Huarmey,PE,2022-03-13 21:46:20,-10.0681,-78.1522,75.54,74,95,8.08
135,Mendi,PG,2022-03-13 21:46:21,-6.1761,143.6513,59.86,91,80,1.61
136,Guarda,PT,2022-03-13 21:47:21,40.5373,-7.2658,38.91,90,100,3.67
137,Machico,PT,2022-03-13 21:47:22,32.7,-16.7667,61.43,62,40,10.36
