City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Muros,ES,42.7762,-9.0603,43.84,91,100,9.37,overcast clouds
80,Cabo San Lucas,MX,22.8909,-109.9124,67.51,52,16,4.0,few clouds
81,North Bend,US,43.4065,-124.2243,48.11,92,100,5.75,overcast clouds
82,Puerto Carreno,CO,6.189,-67.4859,75.9,83,100,5.68,overcast clouds
83,Katsuura,JP,35.1333,140.3,66.7,69,5,14.56,clear sky
84,Torbay,CA,47.6666,-52.7314,25.57,62,75,28.77,broken clouds
85,Kaitangata,NZ,-46.2817,169.8464,57.2,85,100,4.81,overcast clouds
86,Olga,RU,43.7444,135.2892,33.53,80,100,6.78,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,65.61,75,100,23.47,overcast clouds
88,Coquimbo,CL,-29.9533,-71.3436,62.31,88,2,2.51,clear sky
89,Jalu,LY,29.0331,21.5482,53.33,46,0,14.03,clear sky
90,Vaini,TO,-21.2,-175.2,77.16,94,75,0.0,broken clouds
91,Jamestown,US,42.097,-79.2353,35.19,43,100,8.05,overcast clouds
92,Dikson,RU,73.5069,80.5464,-0.78,93,100,13.98,overcast clouds
93,Xinqing,CN,48.2333,129.5,27.73,75,100,6.46,overcast clouds
94,Chumikan,RU,54.7183,135.315,25.74,76,17,8.48,few clouds
95,Shubarkuduk,KZ,49.1447,56.4872,11.53,91,100,5.97,overcast clouds
96,Victoria,HK,22.2855,114.1577,82.04,66,1,8.01,clear sky
97,Saskylakh,RU,71.9167,114.0833,-5.85,96,97,3.31,overcast clouds
98,Lompoc,US,34.6391,-120.4579,52.57,88,75,23.0,broken clouds
99,Wanaka,NZ,-44.7,169.15,62.58,71,94,5.95,overcast clouds
100,Asuncion,PY,-25.3007,-57.6359,65.64,77,0,0.0,clear sky
101,Pombia,IT,45.653,8.6336,43.25,75,75,4.61,broken clouds
102,Naica,MX,27.85,-105.4833,54.81,14,4,7.2,clear sky
103,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.51,89,0,11.68,clear sky
104,Hermanus,ZA,-34.4187,19.2345,56.8,58,72,8.52,broken clouds
105,Tual,ID,-5.6667,132.75,82.94,74,100,8.21,overcast clouds
106,Ushuaia,AR,-54.8,-68.3,37.06,75,100,17.27,light rain
107,Marsaxlokk,MT,35.8419,14.5431,55.08,87,40,9.22,scattered clouds
108,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,31.07,heavy snow
109,Xunchang,CN,28.4543,104.715,83.62,45,46,6.69,scattered clouds
110,Mangrol,IN,21.1167,70.1167,88.84,36,7,8.34,clear sky
111,Tshela,CD,-4.9833,12.9333,76.03,96,100,0.51,overcast clouds
112,Sibolga,ID,1.7427,98.7792,83.75,76,99,4.12,overcast clouds
113,Oranjemund,NA,-28.55,16.4333,62.01,61,0,21.97,clear sky
114,Kashan,IR,33.9831,51.4364,68.18,32,0,4.16,clear sky
115,Dandong,CN,40.1292,124.3947,43.92,64,91,18.63,overcast clouds
116,Sobolevo,RU,54.4299,31.8996,30.4,89,24,10.13,few clouds
117,Ancud,CL,-41.8697,-73.8203,54.23,90,100,3.44,overcast clouds
118,Cidreira,BR,-30.1811,-50.2056,69.42,87,100,7.63,overcast clouds
119,Upernavik,GL,72.7868,-56.1549,5.76,78,100,9.13,overcast clouds
120,Iquique,CL,-20.2208,-70.1431,69.49,80,33,2.53,scattered clouds
121,Zhigansk,RU,66.7697,123.3711,-5.98,90,97,12.75,overcast clouds
122,Grindavik,IS,63.8424,-22.4338,37.35,87,100,35.68,overcast clouds
123,Conakry,GN,9.538,-13.6773,77.07,83,35,6.91,mist
124,Saint George,US,37.1041,-113.5841,55.44,25,0,5.75,clear sky
